Library Name,API Name,Network Type
torch,torch.tanh,Activation
torch,torch.sigmoid,Activation
torch,torch.relu,Activation
torch,torch.nn.Tanh,Activation
torch,torch.nn.Softplus,Activation
torch,torch.nn.Softmax2d,Activation
torch,torch.nn.Softmax,Activation
torch,torch.nn.Sigmoid,Activation
torch,torch.nn.SELU,Activation
torch,torch.nn.ReLU6,Activation
torch,torch.nn.ReLU,Activation
torch,torch.nn.PReLU,Activation
torch,torch.nn.LogSoftmax,Activation
torch,torch.nn.LogSigmoid,Activation
torch,torch.nn.LeakyReLU,Activation
torch,torch.nn.Hardtanh,Activation
torch,torch.nn.GLU,Activation
torch,torch.nn.functional.tanh,Activation
torch,torch.nn.functional.softplus.tanh,Activation
torch,torch.nn.functional.softplus,Activation
torch,torch.nn.functional.softmax.multinomial,Activation
torch,torch.nn.functional.softmax,Activation
torch,torch.nn.functional.sigmoid,Activation
torch,torch.nn.functional.selu,Activation
torch,torch.nn.functional.relu6,Activation
torch,torch.nn.functional.relu_,Activation
torch,torch.nn.functional.relu,Activation
torch,torch.nn.functional.logsigmoid,Activation
torch,torch.nn.functional.log_softmax,Activation
torch,torch.nn.functional.leaky_relu_,Activation
torch,torch.nn.functional.leaky_relu,Activation
torch,torch.nn.functional.hardtanh,Activation
torch,torch.nn.functional.glu,Activation
torch,torch.nn.functional.gelu,Activation
torch,torch.nn.functional.elu,Activation
torch,torch.nn.ELU,Activation
torch,torch.nn.CELU,Activation
torch,torch.log_softmax,Activation
torch,torch.functional.relu,Activation
tensorflow,tensorflow.tanh,Activation
tensorflow,tensorflow.softmax,Activation
tensorflow,tensorflow.sigmoid,Activation
tensorflow,tensorflow.python.ops.nn.softplus,Activation
tensorflow,tensorflow.python.ops.math_ops.tanh,Activation
tensorflow,tensorflow.python.ops.math_ops.sigmoid,Activation
tensorflow,tensorflow.python.keras.layers.Activation,Activation
tensorflow,tensorflow.nn.tanh,Activation
tensorflow,tensorflow.nn.swish,Activation
tensorflow,tensorflow.nn.sparse_softmax_cross_entropy_with_logits,Activation
tensorflow,tensorflow.nn.softplus,Activation
tensorflow,tensorflow.nn.softmax,Activation
tensorflow,tensorflow.nn.sigmoid_cross_entropy_with_logits,Activation
tensorflow,tensorflow.nn.sigmoid,Activation
tensorflow,tensorflow.nn.selu,Activation
tensorflow,tensorflow.nn.relu6,Activation
tensorflow,tensorflow.nn.relu_layer,Activation
tensorflow,tensorflow.nn.relu,Activation
tensorflow,tensorflow.nn.log_softmax,Activation
tensorflow,tensorflow.nn.leaky_relu,Activation
tensorflow,tensorflow.nn.elu,Activation
tensorflow,tensorflow.math.tanh,Activation
tensorflow,tensorflow.math.softplus,Activation
tensorflow,tensorflow.math.sigmoid,Activation
tensorflow,tensorflow.keras.layers.Softmax,Activation
tensorflow,tensorflow.keras.layers.ReLU,Activation
tensorflow,tensorflow.keras.layers.PReLU,Activation
tensorflow,tensorflow.keras.layers.LeakyReLU,Activation
tensorflow,tensorflow.keras.layers.Activation,Activation
tensorflow,tensorflow.keras.backend.sigmoid,Activation
tensorflow,tensorflow.keras.activations.relu,Activation
tensorflow,tensorflow.contrib.slim.softmax,Activation
tensorflow,tensorflow.compat.v1.nn.softmax,Activation
keras,keras.layers.ReLU,Activation
keras,keras.layers.PReLU,Activation
keras,keras.layers.LeakyReLU,Activation
keras,keras.layers.ELU,Activation
keras,keras.layers.core.Activation,Activation
keras,keras.layers.advanced_activations.PReLU,Activation
keras,keras.layers.advanced_activations.LeakyReLU,Activation
keras,keras.layers.advanced_activations.ELU,Activation
keras,keras.layers.Activation,Activation
keras,keras.backend.softplus,Activation
keras,keras.backend.softmax,Activation
keras,keras.backend.sigmoid,Activation
keras,keras.backend.relu,Activation
keras,keras.activations.softmax,Activation
keras,keras.activations.sigmoid,Activation
torch,torch.nn.modules.conv.Conv2d,Convolutional
torch,torch.nn.functions.conv.ConvNd,Convolutional
torch,torch.nn.functional.conv3d,Convolutional
torch,torch.nn.functional.conv2d,Convolutional
torch,torch.nn.functional.conv1d,Convolutional
torch,torch.nn.functional.conv_transpose2d,Convolutional
torch,torch.nn.functional.conv_transpose1d,Convolutional
torch,torch.nn.ConvTranspose3d,Convolutional
torch,torch.nn.ConvTranspose2d,Convolutional
torch,torch.nn.ConvTranspose1d,Convolutional
torch,torch.nn.Conv3d,Convolutional
torch,torch.nn.Conv2d,Convolutional
torch,torch.nn.Conv1d,Convolutional
torch,torch.nn._functions.conv.ConvNd,Convolutional
torch,torch._C._functions.ConvNd,Convolutional
tensorflow,tensorflow.python.keras.layers.Conv2DTranspose,Convolutional
tensorflow,tensorflow.python.keras.layers.Conv2D,Convolutional
tensorflow,tensorflow.nn.separable_conv2d,Convolutional
tensorflow,tensorflow.nn.dilation2d,Convolutional
tensorflow,tensorflow.nn.depthwise_conv2d,Convolutional
tensorflow,tensorflow.nn.deconv2d,Convolutional
tensorflow,tensorflow.nn.convolution,Convolutional
tensorflow,tensorflow.nn.conv3d_transpose,Convolutional
tensorflow,tensorflow.nn.conv3d,Convolutional
tensorflow,tensorflow.nn.conv2d_transpose,Convolutional
tensorflow,tensorflow.nn.conv2d,Convolutional
tensorflow,tensorflow.nn.conv1d,Convolutional
tensorflow,tensorflow.nn.atrous_conv2d,Convolutional
tensorflow,tensorflow.layers.separable_conv2d,Convolutional
tensorflow,tensorflow.layers.conv3d,Convolutional
tensorflow,tensorflow.layers.Conv2DTranspose,Convolutional
tensorflow,tensorflow.layers.conv2d_transpose,Convolutional
tensorflow,tensorflow.layers.conv2d,Convolutional
tensorflow,tensorflow.layers.Conv2D,Convolutional
tensorflow,tensorflow.layers.conv1d,Convolutional
tensorflow,tensorflow.keras.layers.SeparableConv2D,Convolutional
tensorflow,tensorflow.keras.layers.DepthwiseConv2D,Convolutional
tensorflow,tensorflow.keras.layers.Convolution2D,Convolutional
tensorflow,tensorflow.keras.layers.Conv3D,Convolutional
tensorflow,tensorflow.keras.layers.Conv2DTranspose,Convolutional
tensorflow,tensorflow.keras.layers.Conv2D,Convolutional
tensorflow,tensorflow.keras.layers.Conv1D,Convolutional
tensorflow,tensorflow.contrib.slim.separable_conv2d,Convolutional
tensorflow,tensorflow.contrib.slim.ops.conv2d,Convolutional
tensorflow,tensorflow.contrib.slim.layers.conv2d_transpose,Convolutional
tensorflow,tensorflow.contrib.slim.layers.conv2d,Convolutional
tensorflow,tensorflow.contrib.slim.convolution2d,Convolutional
tensorflow,tensorflow.contrib.slim.convolution,Convolutional
tensorflow,tensorflow.contrib.slim.conv2d_transpose,Convolutional
tensorflow,tensorflow.contrib.slim.conv2d,Convolutional
tensorflow,tensorflow.contrib.layers.separable_conv2d,Convolutional
tensorflow,tensorflow.contrib.layers.convolution2d_transpose,Convolutional
tensorflow,tensorflow.contrib.layers.convolution2d,Convolutional
tensorflow,tensorflow.contrib.layers.conv2d_transpose,Convolutional
tensorflow,tensorflow.contrib.layers.conv2d,Convolutional
tensorflow,tensorflow.contrib.keras.layers.Conv2D,Convolutional
tensorflow,tensorflow.compat.v1.nn.conv2d_transpose,Convolutional
tensorflow,tensorflow.compat.v1.nn.conv2d,Convolutional
tensorflow,tensorflow.compat.v1.layers.conv2d,Convolutional
keras,keras.layers.SeparableConvolution2D,Convolutional
keras,keras.layers.SeparableConv2D,Convolutional
keras,keras.layers.Deconvolution3D,Convolutional
keras,keras.layers.Deconvolution2D,Convolutional
keras,keras.layers.convolutional.Deconvolution2D,Convolutional
keras,keras.layers.convolutional.Convolution3D,Convolutional
keras,keras.layers.convolutional.Convolution2D,Convolutional
keras,keras.layers.convolutional.Convolution1D,Convolutional
keras,keras.layers.convolutional.Conv3D,Convolutional
keras,keras.layers.convolutional.Conv2DTranspose,Convolutional
keras,keras.layers.convolutional.Conv2D,Convolutional
keras,keras.layers.convolutional.Conv1D,Convolutional
keras,keras.layers.Convolution3D,Convolutional
