Project Name,Change Frequency,Commit Count
coolEphemeroptera/AESRC2020,111,11
pailabteam/pailab,13,9
nanfengpo/crack_captcha,4,1
ebigelow/tf-decompose,161,14
cvqluu/Factorized-TDNN,45,3
heshenghuan/linear_chain_crf,145,18
iesl/dilated-cnn-ner,124,10
oreilly-japan/deep-learning-with-keras-ja,4,1
ildoonet/tf-adnet-tracking,1,1
ztangent/multimodal-dmm,484,63
DreamInvoker/GAIN,2,1
hyqneuron/pytorch-avitm,2,1
ando-khachatryan/HiDDeN,187,10
xiaolai-sqlai/mobilenetv3,1,1
dpressel/rude-carnie,46,10
OliverEdholm/Image-Retrieval,18,2
taki0112/ResNeXt-Tensorflow,2,1
keon/pointer-networks,25,1
koursaros-ai/nboost,185,27
loliverhennigh/Steady-State-Flow-With-Neural-Nets,697,35
niksaz/dota2-expert-demo,140,19
thinkingmachines/christmAIs,5,2
nmduc/deep-ternary,5,2
dominhhai/captcha-breaker,3,1
chen0040/keras-language-translator-web-api,30,6
marl/crepe,4,1
chagmgang/tf2.0_reinforcement_learning,44,6
Vandermode/pytorch-MemNet,2,1
hiveml/tensorflow-grad-cam,8,2
lukemelas/EfficientNet-PyTorch,157,33
ChiWeiHsiao/SphereNet-pytorch,87,12
corenel/pytorch-atda,233,17
JanPalasek/ulozto-captcha-breaker,231,19
dgriff777/a3c_continuous,125,8
alwynmathew/bilinear-sampler-pytorch,16,1
zsdonghao/im2txt2im,124,6
VITA-Group/FasterSeg,24,5
tatsuyah/CNN-Image-Classifier,4,2
GlassyWing/bi-lstm-crf,9,1
moebg/retailbox,18,1
yao-matrix/deepSpeech2,642,49
foolwood/pytorch-slimming,20,6
zhaoyuzhi/deepfillv2,88,6
rosinality/swapping-autoencoder-pytorch,18,2
overfitover/pixor_pytorch,34,2
LiyuanLucasLiu/LM-LSTM-CRF,89,11
hmishra2250/NTM-One-Shot-TF,690,29
ShaohuiLin/GAL,41,2
0shimax/pytorch-EncNet,55,6
WenmuZhou/DBNet.pytorch,282,33
xcyan/neurips18_hierchical_image_manipulation,41,2
jahaniam/semiDepth,157,3
EdinburghNLP/nematus,2397,145
hanskrupakar/3D-UNet-pytorch,7,2
abars/YoloKerasFaceDetection,348,35
kentsommer/keras-inceptionV4,68,7
ImagingLab/ICIAR2018,705,30
tangbinh/question-answering,3,1
adursun/wsddn.pytorch,65,19
instacart/lore,144,22
TianzhongSong/Tensorflow-quantization-test,208,27
dhlee347/pytorchic-bert,2,2
doubleQ2018/Deep-learning-for-contact_map_v2,9,2
Maple728/MTNet,176,9
ramon-oliveira/aorun,97,15
z-bingo/Attention-Mechanism-Enhanced-KPN,64,5
tomp11/metric_learning,46,7
xcmyz/FastSpeech2,4,1
tgyg-jegli/tf_texture_net,15,1
yippp/FSRCNN,214,20
Sierkinhane/CRNN_Chinese_Characters_Rec,10,4
kevin-ssy/FishNet,6,2
amjltc295/Free-Form-Video-Inpainting,9,3
Shathe/Ev-SegNet,3,1
EEEGUI/DenseDepth-pytorch,146,6
ahmedbesbes/mrnet,97,27
saic-vul/odometry,320,84
shobrook/sequitur,28,4
ShubhangDesai/rnn-encoder-decoder,21,3
ouououououou/DIB-PEB-Sequential-RS,3,1
dynobo/PyctureStream,2,2
rosinality/vq-vae-2-pytorch,24,5
calmisential/EfficientNet_TensorFlow2,7,4
npielawski/pytorch_tiramisu,5,3
EmilianoGagliardiEmanueleGhelfi/CNN-compression-performance,311,38
ProofByConstruction/texture-networks,141,6
Uehwan/3-D-Scene-Graph,109,11
sebastiani/pytorch-attention-augmented-convolution,125,20
dmlc/gluon-nlp,8,2
hendriks73/directional_cnns,25,2
harryhan618/SCNN_Pytorch,22,12
ASzot/ppo-pytorch,109,7
YoungXIAO13/FewShotViewpoint,7,2
harskish/ganspace,5,1
peisuke/ImplicitGeometricRegularization.pytorch,116,14
siddk/relation-network,58,3
wavewangyue/tensorflow_seq2seq,36,4
yjchoe/alphaGAN,1,1
remykarem/python2jupyter,31,2
shufanwu/colorNet-pytorch,15,1
zsyOAOA/VDNet,69,5
Smerity/keras_snli,6,4
cgnorthcutt/benchmarking-keras-pytorch,26,6
thisisiron/transformer-tf2,36,3
snakers4/mnasnet-pytorch,130,17
lukecavabarrett/pna,55,8
Luodian/MADAN,22,8
rbiswas143/deep-audioviz-experiments,65,13
xrenaa/Music-Dance-Video-Synthesis,30,1
ducha-aiki/hesaff-pytorch,35,3
R-Stefano/Remote-Sensing-Analysis,93,6
berkgulay/WeatherPredictionFromImage,53,13
somewacko/deep-features-video,9,2
zhouchunpong/GCN_Keras,1,1
yxlijun/STDN.pytorch,10,1
deruhat/NIvsCG-keras,154,16
baumgach/PHiSeg-code,254,3
abhiskk/ladder,167,7
znxlwm/pytorch-CycleGAN,1,1
yzhouas/PD-Denoising-pytorch,19,1
moono/stylegan2-tf-2.x,301,43
rosinality/glow-pytorch,35,5
HKUST-KnowComp/R-Net,583,25
akanimax/pro_gan_pytorch,477,31
pbias/lunet,1,1
tatsuokun/seq2seq,126,16
shiyemin/shuttleNet,200,4
huseinzol05/YOLO-Object-Detection-Tensorflow,69,8
yenchenlin/pix2pix-tensorflow,137,10
manashmandal/Multitask_Learning_Keras,68,4
walsvid/Generation3D,3,1
elvisyjlin/SpatiallyAdaptiveNormalization,56,4
arsenyinfo/idrnd_face_antispoofing,11,3
ranahanocka/point2mesh,22,2
armaanpriyadarshan/Training-a-Custom-TensorFlow-2.X-Object-Detector,3,3
dragen1860/GCN-PyTorch,8,2
lc82111/pytorch_morphological_dilation2d_erosion2d,5,2
pescadores/pescador,34,4
XuChunqiao/Tensorflow-Fast-MPNCOV,36,6
kourouklides/artificial_neural_networks,465,53
LearnedVector/Wav2Letter,2,1
dasguptar/treelstm.pytorch,107,14
uclnlp/jack,5196,433
snatch59/keras-autoencoders,24,4
AndersonJo/global-average-pooling,1,1
snowkylin/TensorFlow-cn,9,3
devsisters/neural-combinatorial-rl-tensorflow,330,17
braincreators/octconv,157,12
yuhaozhang/sentence-convnet,174,9
dr-costas/mad-twinnet,192,18
jrbtaylor/conditional-pixelcnn,62,14
loudinthecloud/dpwa,2,1
oarriaga/face_classification,559,47
thisisiron/TF2-GAN,45,5
AlexiaJM/Deep-learning-with-cats,269,7
JosephCatrambone/ImageFab,332,20
philipperemy/tensorflow-ctc-speech-recognition,50,5
DongjunLee/dqn-tensorflow,54,8
genforce/idinvert_pytorch,3,1
sniklaus/pytorch-pwc,123,15
PIQuIL/QuCumber,2960,207
ShichenLiu/CondenseNet,13,1
kakaobrain/fast-autoaugment,463,24
cbaziotis/datastories-semeval2017-task4,23,4
erogol/Net2Net,63,6
akashlevy/Deep-Learn-Oil,118,16
hanzlfs/SoundNet_PyTorch,71,3
j-marple-dev/model_compression,188,27
Naresh1318/Adversarial_Autoencoder,288,15
ppwwyyxx/moco.tensorflow,16,3
kuangliu/pytorch-yolov2,103,16
ellisbrown/name2gender,13,2
hepesu/LineDistiller,63,1
SeuTao/TGS-Salt-Identification-Challenge-2018-_4th_place_solution,164,1
theislab/batchglm,5415,269
AxelGoetz/website-fingerprinting,55,13
gentaiscool/end2end-asr-pytorch,52,6
twtygqyy/pytorch-SRResNet,50,4
thnkim/LargeEmbedding,24,2
Stable-Baselines-Team/stable-baselines,2548,170
mbanani/pytorch-clickhere-cnn,251,19
vudung45/FaceRec,13,2
gordicaleksa/pytorch-nst-feedforward,68,15
acheketa/pytorch-CAM,7,3
rmalav15/Super-SloMo,295,15
open-mmlab/mmdetection,1283,225
CyberZHG/keras-trans-mask,2,1
Lornatang/YOLOv3-PyTorch,638,82
deepdiy/deepdiy,2,2
vidhishanair/structured-text-representations,598,49
markdtw/soft-attention-image-captioning,247,8
Meituan-Dianping/vision-ML,2,1
fangpin/siamese-pytorch,91,8
gongzhitaao/tensorflow-adversarial,832,46
hwang1996/IRGAN-pytorch,1,1
ideask/A-Practical-Facial-Landmark-Detector,4,1
mattgolub/fixed-point-finder,166,24
emilemathieu/pvae,15,1
hkchengrex/CascadePSP,6,2
Xls1994/Tensorflow-Turitors,5,1
nickgeoca/cwt-tensorflow,45,9
eecn/Hyperspectral-Classification,3,3
uranusx86/Random-Erasing-tensorflow,32,4
Helsinki-NLP/prosody,122,34
palakg11/KASM-Pytorch,49,9
tlokeshkumar/DBPN-tf,174,15
vita-epfl/openpifpaf,1402,221
yu4u/noise2noise,21,4
AruniRC/detectron-self-train,1997,197
Nealcly/sarcasm-detection-for-sentiment-analysis,29,7
dhwajraj/deep-siamese-text-similarity,177,10
HiKapok/SSD.TensorFlow,1340,19
taki0112/MirrorGAN-Tensorflow,130,3
Lyken17/pytorch-OpCounter,87,27
topazape/molecular-VAE,208,18
he-y/soft-filter-pruning,21,4
zxjzxj9/PyTorchIntroduction,1,1
Media-Smart/volksdep,26,14
TaiChunYen/Pytorch-CycleGAN-VC2,12,2
jz462/Large-Scale-VRD.pytorch,2,1
traai/async-deep-rl,85,1
ikinsella/locaNMF,31,6
yangxue0827/R-DFPN_FPN_Tensorflow,10,3
yzhangcs/tagger,77,16
seewoo5/KT,76,17
imcaspar/gpt2-ml,46,3
dingkeyan93/IQA-optimization,1,1
shariqiqbal2810/maddpg-pytorch,72,17
MahmoudWahdan/dialog-nlu,83,7
hajix/G2P,6,2
widiot/tensorflow-practices,14,2
NervanaSystems/coach,1948,158
fenghansen/ESRGAN-Keras,33,2
xingchensong/Speech-Transformer-tf2.0,129,6
abduallahmohamed/Nested-LSTM-NLSTM-Pytorch,1,1
Barqawiz/Snnapy2-Filters,1,1
deepmedic/deepmedic,838,57
Ylexx/Bilinear_CNN,24,5
jotia1/spiking-net-tensorflow,11,1
alvinwan/finger-detection-lite,42,4
diditforlulz273/PokerRL-Omaha,43,6
ilaria-manco/music-audio-tagging-pytorch,58,5
TheShadow29/VC-with-GAN,283,12
jhhuang96/ConvLSTM-PyTorch,9,4
kairos03/ProxylessNAS-Pytorch,108,7
ujsyehao/yolov3-multigpu,11,1
4thgen/DCGAN-CIFAR10,12,3
Stick-To/ResNet-tensorflow,71,10
VoVAllen/tf-dlpack,6,5
apockill/CreepyCrawlAI,2,1
lzw-all-in/CS224n_assignments-use-Pytorch,8,1
nicolas-ivanov/tf_seq2seq_chatbot,42,8
kazuto1011/pspnet-pytorch,38,5
fjchange/pytorch_ano_pre,10,3
fcakyon/craft-text-detector,5,1
gustavz/realtime_object_detection,90,19
knorth55/chainer-dense-fusion,7,1
kevinjliang/tf-Faster-RCNN,318,60
Daniel-Liu-c0deb0t/Adversarial-point-perturbations-on-3D-objects,282,26
SonghyunYu/DIDN,4,1
titu1994/keras-coordconv,10,3
ildoonet/cutmix,21,2
viking-sudo-rm/stacknn-core,877,120
JY-112553/yolov1-keras-voc,85,2
Franck-Dernoncourt/NeuroNER,92,9
oke-aditya/image_similarity,44,5
yhlleo/uaggan,101,18
yukkyo/Kaggle-Understanding-Clouds-69th-solution,44,6
Kyubyong/dc_tts,364,11
THUfl12/Tensorflow,2,2
hmshan/CPCE-3D,1,1
whqwill/seq2seq-keyphrase-bert,13,1
hinanmu/C2AE_tensorflow,39,1
cypw/PyTorch-MFNet,7,2
cvqluu/TDNN,1,1
DylanWusee/pointconv_pytorch,56,2
NLPLearn/QANet,368,12
naturomics/CapsNet-Tensorflow,390,45
autonomio/autonomio,72,16
meteorshowers/StereoNet-ActiveStereoNet,35,2
kefirski/pytorch_Highway,6,1
JusperLee/Deep-Clustering-for-Speech-Separation,55,5
jparkhill/TensorMol,6899,177
YongfeiYan/Gumbel_Softmax_VAE,3,1
ssydasheng/GPflow-Slim,33,4
albanie/pytorch-benchmarks,7,2
dreamnettech/dreampower,13,4
xuxingya/tf2crf,94,11
naoto0804/pytorch-VAT,18,2
bubbliiiing/retinanet-keras,10,3
AlexGidiotis/Document-Classifier-LSTM,162,14
ikostrikov/pytorch-ddpg-naf,83,7
brendanator/atari-rl,789,33
gasparian/PicsArtHack-binary-segmentation,77,5
ncullen93/torchsample,1361,71
rosinality/relation-networks-pytorch,121,9
lvapeab/nmt-keras,1807,229
