Library,API Name,Param,Parameter Type
keras,keras.layers.Conv2D,0,Output Dimension
keras,keras.layers.Convolution2D,0,Output Dimension
keras,keras.layers.convolutional.Convolution2D,0,Output Dimension
keras,keras.layers.Conv1D,0,Output Dimension
keras,keras.layers.Conv3D,0,Output Dimension
keras,keras.layers.convolutional.Conv2D,0,Output Dimension
tensorflow,tensorflow.layers.conv2d,0,Output Dimension
tensorflow,tensorflow.keras.layers.Conv2D,0,Output Dimension
tensorflow,tensorflow.nn.conv2d_transpose,0,Input Dimension
tensorflow,tensorflow.contrib.layers.conv2d,0,Input Dimension
tensorflow,tensorflow.nn.conv1d,0,Input Dimension
tensorflow,tensorflow.nn.depthwise_conv2d,0,Input Dimension
tensorflow,tensorflow.contrib.slim.layers.conv2d,0,Input Dimension
tensorflow,tensorflow.layers.conv2d_transpose,0,Input Dimension
tensorflow,tensorflow.nn.conv3d,0,Input Dimension
tensorflow,tensorflow.contrib.layers.convolution2d,0,Input Dimension
tensorflow,tensorflow.contrib.layers.convolution2d_transpose,0,Input Dimension
tensorflow,tensorflow.nn.convolution,0,Input Dimension
tensorflow,tensorflow.python.keras.layers.Conv2DTranspose,0,Output Dimension
torch,torch.nn.Conv2d,0,Input Dimension
torch,torch.nn.ConvTranspose2d,0,Input Dimension
torch,torch.nn.functional.conv2d,0,Input Dimension
torch,torch.nn.Conv3d,0,Input Dimension
torch,torch.nn.Conv1d,0,Input Dimension
torch,torch.nn.functional.conv1d,0,Input Dimension
torch,torch.nn.functional.conv_transpose2d,0,Input Dimension
torch,torch.nn.Conv2d,0,Input Dimension
torch,torch.nn.ConvTranspose2d,0,Input Dimension
torch,torch.nn.Conv3d,0,Input Dimension
torch,torch.nn.Conv1d,0,Input Dimension
torch,torch.nn.functional.conv2d,0,Input Dimension
torch,torch.nn.functional.conv1d,0,Input Dimension
torch,torch.nn.functional.conv3d,0,Input Dimension
torch,torch.nn.functional.conv_transpose2d,0,Input Dimension
tensorflow,tensorflow.nn.conv2d,0,Input Dimension
tensorflow,tensorflow.layers.conv2d,0,Output Dimension
tensorflow,tensorflow.keras.layers.Conv2D,0,Output Dimension
tensorflow,tensorflow.contrib.slim.conv2d,0,Input Dimension
tensorflow,tensorflow.contrib.slim.separable_conv2d,0,Input Dimension
tensorflow,tensorflow.contrib.slim.conv2d_transpose,0,Input Dimension
tensorflow,tensorflow.keras.layers.DepthwiseConv2D,0,Kernel Size
tensorflow,tensorflow.contrib.layers.conv2d,0,Input Dimension
tensorflow,tensorflow.layers.conv1d,0,Output Dimension
tensorflow,tensorflow.nn.conv2d_transpose,0,Input Dimension
tensorflow,tensorflow.nn.atrous_conv2d,0,Input Dimension
tensorflow,tensorflow.keras.layers.Conv1D,0,Output Dimension
tensorflow,tensorflow.keras.layers.Conv2DTranspose,0,Output Dimension
tensorflow,tensorflow.python.keras.layers.Conv2D,0,Output Dimension
tensorflow,tensorflow.nn.depthwise_conv2d,0,Input Dimension
tensorflow,tensorflow.contrib.slim.layers.conv2d,0,Input Dimension
tensorflow,tensorflow.layers.Conv2D,0,Output Dimension
tensorflow,tensorflow.nn.convolution,0,Input Dimension
tensorflow,tensorflow.nn.conv3d,0,Input Dimension
tensorflow,tensorflow.layers.conv2d_transpose,0,Input Dimension
tensorflow,tensorflow.nn.conv1d,0,Input Dimension
tensorflow,tensorflow.python.keras.layers.Conv2DTranspose,0,Output Dimension
keras,keras.layers.Conv3D,0,Output Dimension
keras,keras.layers.Convolution2D,0,Output Dimension
keras,keras.layers.convolutional.Convolution1D,0,Output Dimension
keras,keras.layers.convolutional.Convolution2D,0,Output Dimension
keras,keras.layers.Conv2D,0,Output Dimension
keras,keras.layers.Conv2DTranspose,0,Output Dimension
keras,keras.layers.SeparableConv2D,0,Output Dimension
keras,keras.layers.Conv1D,0,Output Dimension
keras,keras.backend.conv2d,0,Input Dimension
keras,keras.layers.convolutional.Conv2D,0,Output Dimension
keras,keras.layers.Deconvolution2D,0,Output Dimension
keras,keras.layers.Conv2D,1,Kernel Size
keras,keras.layers.Convolution2D,1,Kernel Size
keras,keras.layers.convolutional.Convolution2D,1,Kernel Size
keras,keras.layers.Conv1D,1,Kernel Size
keras,keras.layers.Conv3D,1,Kernel Size
tensorflow,tensorflow.nn.conv2d,1,Output Dimension
tensorflow,tensorflow.layers.conv2d,1,Kernel Size
tensorflow,tensorflow.keras.layers.Conv2D,1,Kernel Size
tensorflow,tensorflow.contrib.slim.conv2d,1,Output Dimension
tensorflow,tensorflow.contrib.slim.separable_conv2d,1,
tensorflow,tensorflow.contrib.slim.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.nn.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.contrib.layers.conv2d,1,Output Dimension
tensorflow,tensorflow.nn.conv1d,1,Output Dimension
tensorflow,tensorflow.nn.depthwise_conv2d,1,Output Dimension
tensorflow,tensorflow.layers.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.nn.conv3d,1,Output Dimension
tensorflow,tensorflow.nn.convolution,1,Output Dimension
torch,torch.nn.Conv2d,1,Output Dimension
torch,torch.nn.ConvTranspose2d,1,Output Dimension
torch,torch.nn.functional.conv2d,1,Output Dimension
torch,torch.nn.Conv3d,1,Output Dimension
torch,torch.nn.Conv1d,1,Output Dimension
torch,torch.nn.functional.conv1d,1,Output Dimension
torch,torch.nn.functional.conv_transpose2d,1,Output Dimension
torch,torch.nn.Conv2d,1,Output Dimension
torch,torch.nn.ConvTranspose2d,1,Output Dimension
torch,torch.nn.Conv3d,1,Output Dimension
torch,torch.nn.Conv1d,1,Output Dimension
torch,torch.nn.functional.conv2d,1,Output Dimension
torch,torch.nn.functional.conv1d,1,Output Dimension
torch,torch.nn.functional.conv3d,1,Output Dimension
torch,torch.nn.functional.conv_transpose2d,1,Output Dimension
tensorflow,tensorflow.nn.conv2d,1,Output Dimension
tensorflow,tensorflow.layers.conv2d,1,Kernel Size
tensorflow,tensorflow.keras.layers.Conv2D,1,Kernel Size
tensorflow,tensorflow.contrib.slim.conv2d,1,Output Dimension
tensorflow,tensorflow.contrib.slim.separable_conv2d,1,Output Dimension
tensorflow,tensorflow.contrib.slim.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.contrib.layers.conv2d,1,Output Dimension
tensorflow,tensorflow.layers.conv1d,1,Kernel Size
tensorflow,tensorflow.nn.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.nn.atrous_conv2d,1,Output Dimension
tensorflow,tensorflow.keras.layers.Conv1D,1,Kernel Size
tensorflow,tensorflow.keras.layers.Conv2DTranspose,1,Kernel Size
tensorflow,tensorflow.python.keras.layers.Conv2D,1,Kernel Size
tensorflow,tensorflow.nn.depthwise_conv2d,1,Output Dimension
tensorflow,tensorflow.contrib.slim.layers.conv2d,1,Output Dimension
tensorflow,tensorflow.layers.Conv2D,1,Kernel Size
tensorflow,tensorflow.nn.convolution,1,Output Dimension
tensorflow,tensorflow.nn.conv3d,1,Output Dimension
tensorflow,tensorflow.layers.conv2d_transpose,1,Output Dimension
tensorflow,tensorflow.nn.conv1d,1,Output Dimension
tensorflow,tensorflow.python.keras.layers.Conv2DTranspose,1,Kernel Size
keras,keras.layers.Convolution2D,1,Kernel Size
keras,keras.layers.convolutional.Convolution1D,1,Output Dimension
keras,keras.layers.convolutional.Convolution2D,1,Kernel Size
keras,keras.layers.Conv2D,1,Kernel Size
keras,keras.layers.Conv2DTranspose,1,Kernel Size
keras,keras.layers.SeparableConv2D,1,Kernel Size
keras,keras.layers.Conv1D,1,Kernel Size
keras,keras.backend.conv2d,1,Kernel Size
