API Name,Parameter ID,Default Rate,Flip Rate
keras.layers.depthwiseconv2d,padding,0,100
keras.layers.convolutional.separableconv2d,padding,0,100
tensorflow.layers.conv1d,data_format,0,100
tensorflow.python.keras._impl.keras.layers.separableconv2d,padding,0,100
tensorflow.python.ops.nn.conv2d_transpose,padding,0,100
tensorflow.layers.conv3d,padding,1.136363636,98.86363636
keras.layers.separableconv2d,padding,2.803738318,97.19626168
tensorflow.keras.layers.conv2dtranspose,padding,3.484320557,96.51567944
tensorflow.keras.layers.depthwiseconv2d,padding,3.754266212,96.24573379
tensorflow.compat.v1.nn.convolution,padding,5,95
tensorflow.keras.layers.separableconv2d,padding,5.970149254,94.02985075
tensorflow.compat.v1.layers.conv2d,padding,6.930693069,93.06930693
tensorflow.contrib.keras.layers.conv2d,padding,7.142857143,92.85714286
tensorflow.layers.maxpooling2d,padding,8.333333333,91.66666667
keras.layers.convolutional.conv1d,padding,8.849557522,91.15044248
tensorflow.nn.conv2d,padding,9.253517768,90.74648223
keras.layers.convolutional.conv2dtranspose,padding,10.14492754,89.85507246
tensorflow.nn.conv3d_transpose,padding,10.52631579,89.47368421
keras.layers.convolutional.conv3d,padding,10.75949367,89.24050633
keras.layers.conv2dtranspose,padding,12.46458924,87.53541076
keras.layers.recurrent.gru,return_sequences,12.5,87.5
tensorflow.python.keras.layers.conv2d,padding,12.61682243,87.38317757
keras.layers.conv3d,padding,13.61702128,86.38297872
torch.optim.adam,lr,14.05152225,85.94847775
tensorflow.python.keras._impl.keras.layers.averagepooling2d,padding,14.28571429,85.71428571
torch.optim.rmsprop,lr,14.28571429,85.71428571
torch.nn.upsample,mode,15.50614394,84.49385606
tensorflow.contrib.keras.python.keras.layers.conv2d,padding,17.0212766,82.9787234
keras.layers.conv1d,padding,17.97862002,82.02137998
tensorflow.keras.layers.averagepooling2d,pool_size,18,82
tensorflow.nn.conv3d,padding,18.07228916,81.92771084
tensorflow.keras.layers.lstm,return_sequences,18.08510638,81.91489362
tensorflow.nn.conv1d,padding,18.48739496,81.51260504
tensorflow.python.keras._impl.keras.layers.conv2d,padding,18.66666667,81.33333333
tensorflow.layers.conv2d,padding,19.09201459,80.90798541
tensorflow.keras.layers.conv3d,padding,19.11764706,80.88235294
keras.layers.simplernn,return_sequences,19.27710843,80.72289157
tensorflow.keras.layers.conv2d,padding,20.56898288,79.43101712
torch.optim.adagrad,lr,20.61068702,79.38931298
keras.layers.gru,return_sequences,20.6557377,79.3442623
tensorflow.keras.layers.gru,return_sequences,21.42857143,78.57142857
keras.layers.recurrent.lstm,return_sequences,22.97734628,77.02265372
keras.backend.conv2d,padding,23.07692308,76.92307692
keras.layers.convolutional.conv2d,padding,23.75796178,76.24203822
tensorflow.keras.layers.maxpooling1d,pool_size,24.13793103,75.86206897
tensorflow.keras.layers.depthwiseconv2d,depthwise_initializer,24.57337884,75.42662116
tensorflow.keras.layers.depthwiseconv2d,bias_initializer,25.59726962,74.40273038
tensorflow.layers.conv3d_transpose,padding,25.92592593,74.07407407
tensorflow.keras.layers.conv1d,padding,26.76767677,73.23232323
tensorflow.python.ops.rnn.dynamic_rnn,time_major,28.16901408,71.83098592
keras.layers.averagepooling3d,padding,28.57142857,71.42857143
tensorflow.layers.conv1d,padding,28.76712329,71.23287671
keras.layers.conv2d,padding,29.86503634,70.13496366
torch.nn.avgpool1d,padding,31.70731707,68.29268293
tensorflow.compat.v1.layers.batch_normalization,momentum,33.33333333,66.66666667
torch.nn.conv3d,padding,34.30111987,65.69888013
torch.optim.adamw,lr,34.54545455,65.45454545
tensorflow.compat.v1.layers.average_pooling2d,padding,34.61538462,65.38461538
keras.layers.maxpooling3d,padding,34.64566929,65.35433071
tensorflow.python.ops.nn.convolution,padding,35.41666667,64.58333333
keras.layers.lstm,return_sequences,35.76233184,64.23766816
