Project Name,Revision ID,API Type,Commit Type,Note,Log
zubara/mneflow,ebf40b46566ab141bb63f1cc4446e483cc6d0b6d,,Bug Fix,,minor fixes in data  models and layers
zubara/mneflow,ebf40b46566ab141bb63f1cc4446e483cc6d0b6d,Linear,Bug Fix,,minor fixes in data  models and layers
zubara/mneflow,ebf40b46566ab141bb63f1cc4446e483cc6d0b6d,Dropout,Bug Fix,,minor fixes in data  models and layers
zubara/mneflow,ebf40b46566ab141bb63f1cc4446e483cc6d0b6d,Activation,Bug Fix,,minor fixes in data  models and layers
gregwchase/eyenet,a575c8d0979701c72e2db13e7706a589a16b8c43,,Other,,reduced categories from 5 to 3 (none  some dr  and severe dr)
gregwchase/eyenet,a575c8d0979701c72e2db13e7706a589a16b8c43,Linear,Other,,reduced categories from 5 to 3 (none  some dr  and severe dr)
eriklindernoren/PyTorch-GAN,b4f3504e2b1e3775e7c084ce9d03c2c4a1a332a5,,Feature,,bicyclegan: adapted for 256x256 images
eriklindernoren/PyTorch-GAN,b4f3504e2b1e3775e7c084ce9d03c2c4a1a332a5,Linear,Feature,,bicyclegan: adapted for 256x256 images
Adapter-Hub/adapter-transformers,518307dfcddd0d47b10b4cffd6ab5f1d8cb6baac,,Test,,test suite independent of framework
Adapter-Hub/adapter-transformers,518307dfcddd0d47b10b4cffd6ab5f1d8cb6baac,Linear,Test,,test suite independent of framework
Adapter-Hub/adapter-transformers,518307dfcddd0d47b10b4cffd6ab5f1d8cb6baac,Dropout,Test,,test suite independent of framework
jinserk/pytorch-asr,87f8a0a8b104694bd2a0e6df7a715e305d0ea1d9,,Other,,remove external all_reduce in distributed mode
jinserk/pytorch-asr,87f8a0a8b104694bd2a0e6df7a715e305d0ea1d9,Linear,Other,,remove external all_reduce in distributed mode
davidsandberg/facenet,0f355b8bc9e6f55b6e2cb3ee642075aed99933f9,,Bug Fix,,fixed problem where phase_train was always true for the bottleneck layer
davidsandberg/facenet,0f355b8bc9e6f55b6e2cb3ee642075aed99933f9,Linear,Bug Fix,,fixed problem where phase_train was always true for the bottleneck layer
davidsandberg/facenet,0f355b8bc9e6f55b6e2cb3ee642075aed99933f9,Training,Bug Fix,,fixed problem where phase_train was always true for the bottleneck layer
davidsandberg/facenet,0f355b8bc9e6f55b6e2cb3ee642075aed99933f9,Normalization,Bug Fix,,fixed problem where phase_train was always true for the bottleneck layer
JDAI-CV/fast-reid,53fed7451d1abb952899329d8a36e85098ff3db6,,Feature,,feat: support amp training\n\nsummary: support automatic mixed precision training #217
JDAI-CV/fast-reid,53fed7451d1abb952899329d8a36e85098ff3db6,Linear,Feature,,feat: support amp training\n\nsummary: support automatic mixed precision training #217
JDAI-CV/fast-reid,53fed7451d1abb952899329d8a36e85098ff3db6,Training,Feature,,feat: support amp training\n\nsummary: support automatic mixed precision training #217
uclnlp/jack,60a617e1924db3abc90364d9d61392eb3ba2e561,,Feature,,character embeddings are optional
uclnlp/jack,60a617e1924db3abc90364d9d61392eb3ba2e561,Linear,Feature,,character embeddings are optional
uclnlp/jack,60a617e1924db3abc90364d9d61392eb3ba2e561,Sparse,Feature,,character embeddings are optional
shekkizh/TensorflowProjects,11845a46be67cd28ce5e9e731bfa498c2e6fed0d,,Feature,,upating face detection implemtation
shekkizh/TensorflowProjects,11845a46be67cd28ce5e9e731bfa498c2e6fed0d,Linear,Feature,,upating face detection implemtation
shekkizh/TensorflowProjects,11845a46be67cd28ce5e9e731bfa498c2e6fed0d,Training,Feature,,upating face detection implemtation
shekkizh/TensorflowProjects,11845a46be67cd28ce5e9e731bfa498c2e6fed0d,Activation,Feature,,upating face detection implemtation
GPflow/GPflow,65342e3a1cfaaf0befac4d9e853e3462cef98403,,Test,,added test for linear+rbf psi statistics  cleaned up code to pep8
GPflow/GPflow,65342e3a1cfaaf0befac4d9e853e3462cef98403,Linear,Test,,added test for linear+rbf psi statistics  cleaned up code to pep8
