Parameter Name,Modify Frequency,Added Frequency,Deleted Frequency
Learning Rate,3291,4649,2839
Kernel Size,1555,20181,12932
Padding,1358,14668,9372
Activation,1060,9407,6655
Kernel Initializer,908,3979,2092
Stride,805,13181,8422
Hidden Size,750,2119,1425
Kernel Regularizer,732,1905,896
Momentum,387,2075,1595
Bias,318,6399,3748
Dropout,187,927,604
Trainable,180,5243,4042
Dilation Rate,80,1144,583
Beta1,77,272,130
Mode,65,208,142
Number Layer,58,407,272
Gamma Initializer,50,57,110
Bias Initializer,48,778,469
Beta Intializer,45,17,102
Beta2,42,149,68
Alpha,35,568,374
Bias Regulairzier,26,166,75
Embedding Initializer,24,77,66
Activity Regularizer,6,104,39
Recurrent Initializer,3,20,17
Atrous Rate,0,4,7
